package,owner,category,sub_category
AbbreviatedStackTraces,BioTurboNick,Programming Paradigms,Control Flow
AbstractAlgebra,Nemocas,Mathematics,Algebra
AbstractDifferentiation,JuliaDiff,Mathematics,Symbolic Computation
AbstractFFTs,JuliaMath,Mathematics,DSP
AbstractGPs,JuliaGaussianProcesses,AI,Machine Learning
AbstractMCMC,TuringLang,Probability & Statistics,Markovian
AbstractPlotting,JuliaPlots,Graphics,Graphical Plotting
AcceleratedArrays,andyferris,Algorithms,Sorting
Accessors,JuliaObjects,Programming Paradigms,Macro
AccurateArithmetic,JuliaMath,Mathematics,Floating Point
AD4SM,avigliotti,Mathematics,Solid Geometry
Adapt,JuliaGPU,Mathematics,Linear Algebra
ADCME,kailaix,Physics,Fluid Dynamics
AdFem,kailaix,Mathematics,
ADSeismic,kailaix,Earth Science,Meteorology
AdvancedHMC,TuringLang,Probability & Statistics,Probabilistic Programming
AdvancedMH,TuringLang,Probability & Statistics,Sampling
AdvancedPS,TuringLang,AI,Machine Learning
AdvancedVI,TuringLang,Mathematics,Numerical Analysis
AeroFuse,GodotMisogi,Earth Science,Aeronautics
AeroMDAO,GodotMisogi,Earth Science,Aeronautics
Agents,JuliaDynamics,Physics,Complex Systems
AIBECS,JuliaOcean,Earth Science,
AirspeedVelocity,MilesCranmer,QA,Package QA
Alert,haberdashPI,Desktop Applications,GUI
AlgebraicDynamics,AlgebraicJulia,Mathematics,Algebraic Geometry
AlgebraicMultigrid,JuliaLinearAlgebra,Mathematics,Algebra
AlgebraicPetri,AlgebraicJulia,Mathematics,Algebra
AlgebraicRelations,AlgebraicJulia,Database,PostgreSQL
AlgebraOfGraphics,MakieOrg,Mathematics,Algebra
AlphaZero,jonathan-laurent,AI,Reinforcement Learning
Alpine,lanl-ansi,Optimization,Nonlinear Programming
Altro,RoboticExplorationLab,Optimization,Nonlinear Programming
AMDGPU,JuliaGPU,Super Computing,GPGPU
AMDGPUnative,JuliaGPU,Super Computing,Parallel Computing
AMQPClient,JuliaComputing,Programming Paradigms,Control Flow
Animations,jkrumbiegel,Graphics,Graphical Plotting
AnyMOD,leonardgoeke,Super Computing,Parallel Computing
ApplicationBuilder,NHDaly,DevOps,Build Automation
ApproxBayes,marcjwilliams1,AI,Machine Learning
ApproximateGPs,JuliaGaussianProcesses,Mathematics,Numerical Analysis
ArbNumerics,JeffreySarnoff,Mathematics,Computer Arithmetic
ARCHModels,s-broda,Mathematics,Mathematical Analysis
ARFIMA,JuliaDynamics,Probability & Statistics,Temporal
ArgCheck,jw3126,Mathematics,
ArnoldiMethod,JuliaLinearAlgebra,Mathematics,Numerical Linear Algebra
Arpack,JuliaLinearAlgebra,Mathematics,Numerical Analysis
ArrayAllocators,mkitti,Programming Paradigms,
ArrayFire,JuliaGPU,Super Computing,
ArrayLayouts,JuliaLinearAlgebra,Optimization,Linear Programming Optimization
ArraysOfArrays,JuliaArrays,Mathematics,Matrix Theory
Arrhenius,DENG-MIT,Chemistry,Reaction Kinetics
arrow-julia,apache,Database,Engines
ArtifactUtils,simeonschaub,Utilities,
AstroTime,JuliaAstro,Space Science,Astro Libraries
AtomicGraphNets,Chemellia,Chemistry,Simulation Methods
AtomsBase,JuliaMolSim,Chemistry,Chemoinformatics
AugmentedGaussianProcesses,theogf,AI,Machine Learning
Augmentor,Evizero,Graphics,Image Processing
AutoGrad,denizyuret,Mathematics,Linear Algebra
AutoHashEquals,andrewcooke,Programming Paradigms,Macro
AutoMLPipeline,IBM,AI,Machine Learning
AutoPreallocation,oxinabox,Optimization,
AutoSysimages,petvana,Programming Paradigms,Automatic Programming
Avalon,dfdx,AI,Machine Learning
AxisKeys,mcabbott,Data Science,
AzureClusterlessHPC,microsoft,Super Computing,Distributed Computing
BangBang,JuliaFolds,Programming Paradigms,Functional Programming
BaremetalPi,ronisbr,Machines,Embedded Systems
BasicBSpline,hyrodium,Mathematics,Geometry
BAT,bat,Probability & Statistics,Probabilistic Programming
BayesHistogram,francescoalemanno,Space Science,Astro Libraries
BayesianOptimization,jbrea,AI,Machine Learning
BEAST,krcools,Physics,Electromagnetism
BenchmarkCI,tkf,Super Computing,Benchmarks
BenchmarkHistograms,ericphanson,Super Computing,Benchmarks
BenchmarkTools,JuliaCI,Super Computing,Benchmarks
Bessels,JuliaMath,Mathematics,Special Functions
BetaML,sylvaticus,AI,Machine Learning
Bibliography,Humans-of-Julia,Database,
BifurcationKit,bifurcationkit,Mathematics,Numerical Analysis
Bijectors,TuringLang,Biology,Bioinformatics
BilevelJuMP,joaquimg,Optimization,Nonlinear Programming
BilevelOptimization,matbesancon,Optimization,Nonlinear Programming
BioMakie,kool7d,Biology,Bioinformatics
BioSequences,BioJulia,Biology,Bioinformatics
BioStructures,BioJulia,Biology,Molecular Biology
Blobs,RelationalAI-oss,Programming Paradigms,
BlockBandedMatrices,JuliaLinearAlgebra,Mathematics,Matrix Theory
BlockDiagonals,invenia,Mathematics,Matrix Theory
Bloqade,QuEraComputing,Physics,Quantum Physics
BoltzmannMachines,stefan-m-lenz,AI,Machine Learning
Books,JuliaBooks,Publications,Publishing Software Tools
BrainFlow,brainflow-dev,AI,Machine Learning
Braket,awslabs,Algorithms,Quantum
Bridge,mschauer,Probability & Statistics,Causal
BridgeStan,roualdes,Probability & Statistics,Probabilistic Programming
Brillouin,thchr,Physics,Electromagnetism
BSplineKit,jipolanco,Mathematics,Polynomials
Bumper,MasonProtter,Programming Paradigms,
Caesar,JuliaRobotics,Machines,Robots
CalculusWithJulia,jverzani,Mathematics,Calculus
CalibrateEmulateSample,CliMA,Super Computing,
CALIPSO,thowell,Optimization,Nonlinear Programming
CanonicalTraits,thautwarm,Mathematics,Linear Algebra
CartesianGeneticProgramming,d9w,AI,Machine Learning
Catalyst,SciML,Chemistry,Simulation Methods
Catlab,AlgebraicJulia,Algorithms,
CatViews,ahwillia,Optimization,
Catwalk,tisztamo,Programming Paradigms,Automatic Programming
Causal,zekeriyasari,Data Science,Software
CausalInference,mschauer,Probability & Statistics,Causal
CausalityTools,JuliaDynamics,Mathematics,
CBinding,analytech-solutions,API,C
CCBlade,byuflowlab,Earth Science,Aeronautics
CellListMap,m3g,Physics,
CellMLToolkit,SciML,Biology,Biomedicine
CFMMRouter,bcc-research,Algorithms,Scheduling Algorithm
Chain,jkrumbiegel,Programming Paradigms,
ChainPlots,rmsrosa,AI,Neural Networks
ChainRules,JuliaDiff,Mathematics,Numerical Analysis
ChainRulesTestUtils,JuliaDiff,Mathematics,Numerical Analysis
ChaosTools,JuliaDynamics,Physics,Complex Systems
