package,users_daily,repos_weekly,users_monthly,repos_daily,repos_monthly,users_weekly
ADNLPModels,false,false,false,true,false,false
AutoPages,false,false,true,false,false,false
DEBtool_J,false,true,false,false,false,false
DimensionalData,false,false,true,false,false,false
DocumenterMermaid,false,true,false,false,false,false
DynamicAxisWarping,false,false,false,false,false,true
Float8s,true,false,false,false,false,false
Flux,false,true,false,true,false,false
Glob,false,false,true,false,false,true
GraphNeuralNetworks,false,false,false,false,false,true
IJulia,false,false,false,true,false,false
JET,false,false,false,false,false,true
LLVM,false,false,true,false,false,false
LLVMLoopInfo,false,false,false,true,false,false
Makie,false,true,false,false,true,false
ModelingToolkit,false,false,false,true,false,false
NearestNeighbors,true,false,false,false,false,false
NetworkLayout,true,false,false,false,false,false
NumericalMethodsInQuantumMechanics,false,false,true,false,false,false
OhMyREPL,false,false,false,false,false,true
Plots,false,true,false,false,false,false
Pluto,true,true,true,true,true,true
Polynomials,false,false,false,true,false,false
PrecompileTools,false,true,false,false,false,false
ProjectEuler,false,false,false,true,false,false
Revise,false,false,true,false,false,true
SDDP,true,false,false,false,false,false
SPMD,true,false,false,false,false,false
SegmentAnything,true,false,false,false,false,false
Unityper,false,false,false,false,false,true
VoronoiFVM,false,false,false,true,false,false
WaterLily,false,true,false,false,false,false
